34588 [main] DEBUG devpinoyLogger  - Reading data from Excel
34766 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> GET /session/074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45/element/25d5c9f1-c077-4d9c-b60c-78478fe852ee/enabled HTTP/1.1
34766 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> Cache-Control: no-cache
34766 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> Host: localhost:10800
34766 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> Connection: Keep-Alive
34766 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> User-Agent: Apache-HttpClient/4.5.3 (Java/1.8.0_181)
34766 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> Accept-Encoding: gzip,deflate
34766 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.wire  - http-outgoing-0 >> "GET /session/074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45/element/25d5c9f1-c077-4d9c-b60c-78478fe852ee/enabled HTTP/1.1[\r][\n]"
34766 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.wire  - http-outgoing-0 >> "Cache-Control: no-cache[\r][\n]"
34766 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.wire  - http-outgoing-0 >> "Host: localhost:10800[\r][\n]"
34766 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.wire  - http-outgoing-0 >> "Connection: Keep-Alive[\r][\n]"
34766 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.wire  - http-outgoing-0 >> "User-Agent: Apache-HttpClient/4.5.3 (Java/1.8.0_181)[\r][\n]"
34766 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.wire  - http-outgoing-0 >> "Accept-Encoding: gzip,deflate[\r][\n]"
34766 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.wire  - http-outgoing-0 >> "[\r][\n]"
34774 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.wire  - http-outgoing-0 << "HTTP/1.1 200 OK[\r][\n]"
34774 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.wire  - http-outgoing-0 << "Content-Type: application/json; charset=utf-8[\r][\n]"
34774 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.wire  - http-outgoing-0 << "Cache-Control: no-cache[\r][\n]"
34774 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.wire  - http-outgoing-0 << "Content-Length: 14[\r][\n]"
34774 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.wire  - http-outgoing-0 << "Date: Sat, 13 Oct 2018 10:15:47 GMT[\r][\n]"
34774 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.wire  - http-outgoing-0 << "[\r][\n]"
34774 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.wire  - http-outgoing-0 << "{"value":true}"
34775 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 << HTTP/1.1 200 OK
34775 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 << Content-Type: application/json; charset=utf-8
34775 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 << Cache-Control: no-cache
34775 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 << Content-Length: 14
34775 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 << Date: Sat, 13 Oct 2018 10:15:47 GMT
34775 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Connection can be kept alive indefinitely
34775 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection [id: 0][route: {}->http://localhost:10800] can be kept alive indefinitely
34775 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection released: [id: 0][route: {}->http://localhost:10800][total kept alive: 1; route allocated: 1 of 2000; total allocated: 1 of 2000]
34776 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.client.protocol.RequestAddCookies  - CookieSpec selected: default
34777 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.client.protocol.RequestAuthCache  - Auth cache not set in the context
34777 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection request: [route: {}->http://localhost:10800][total kept alive: 1; route allocated: 1 of 2000; total allocated: 1 of 2000]
34777 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection leased: [id: 0][route: {}->http://localhost:10800][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
34777 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Stale connection check
34779 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.wire  - http-outgoing-0 << "[read] I/O error: Read timed out"
34779 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-0: set socket timeout to 10800000
34779 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Executing request POST /session/074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45/element HTTP/1.1
34779 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Target auth state: UNCHALLENGED
34779 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Proxy auth state: UNCHALLENGED
34779 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> POST /session/074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45/element HTTP/1.1
34779 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> Content-Type: application/json; charset=utf-8
34779 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> Content-Length: 44
34779 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> Host: localhost:10800
34779 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> Connection: Keep-Alive
34779 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> User-Agent: Apache-HttpClient/4.5.3 (Java/1.8.0_181)
34779 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> Accept-Encoding: gzip,deflate
34779 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.wire  - http-outgoing-0 >> "POST /session/074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45/element HTTP/1.1[\r][\n]"
34779 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.wire  - http-outgoing-0 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
34779 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.wire  - http-outgoing-0 >> "Content-Length: 44[\r][\n]"
